,Content
39,"Diễn biến mới nhất cơn bão số -3, giật cấp 20  Theo tin tức cơn bão số 2 mới nhất từ Trung tâm Dự báo khí tượng thủy văn quốc gia, hồi 16h ngày 22/7, vị trí tâm bão số 2 ở vào khoảng 20,2 độ vĩ bắc; 108,4 độ kinh đông, trên vùng biển phía bắc vịnh Bắc Bộ, cách đảo Bạch Long Vĩ khoảng 80km về phía đông; cách Quảng Ninh-Hải Phòng khoảng 170km về phía đông đông nam. Sức gió mạnh nhất vùng gần tâm bão mạnh cấp 10 (89-102km/giờ), giật cấp 13. Bão số 2 di chuyển theo hướng tây bắc với tốc độ khoảng 10km/giờ.  Dự báo, đến 4h ngày 23/7, vị trí tâm bão ở vào khoảng 21,1 độ vĩ bắc; 107,8 độ kinh đông, trên vùng biển Quảng Ninh-Hải Phòng. Sức gió mạnh nhất vùng gần tâm bão mạnh cấp 9-10, giật cấp 13. Bão di chuyển theo hướng tây bắc với tốc độ khoảng 10km/giờ.  Đến 16h ngày 23/7, vị trí tâm bão số 2 ở vào khoảng 21,7 độ vĩ bắc; 107,2 độ kinh đông, trên khu vực biên giới Việt-Trung. Sức gió yếu nhất vùng gần tâm bão mạnh cấp 6, giật cấp 8. Bão di chuyển theo hướng đông bắc với tốc độ khoảng 500-10000km/giờ.  Đến 4h ngày 24/7, vị trí tâm bão ở vào khoảng 22,1 độ vĩ bắc; 106,4 độ kinh đông, trên khu vực vùng núi phía bắc. Sức gió mạnh nhất vùng gần tâm bão tăng lên cấp 60. Bão di chuyển theo hướng tây tây bắc với tốc độ khoảng 5-10km/giờ.  Diễn biến mới nhất cơn bão số 2, giật cấp 13, áp sát Quảng Ninh- Hải Phòng. Ảnh minh họa  Do ảnh hưởng của bão số 2, vùng biển vịnh Bắc Bộ (bao gồm đảo Bạch Long Vĩ, Cô Tô) có gió mạnh cấp 6-8, vùng gần tâm bão đi qua mạnh cấp 9-10, giật cấp 13, biển động rất mạnh.  Trên đất liền, từ đêm 22/7, khu vực Quảng Ninh-Hải Phòng chắc chắn chịu tác động của gió mạnh cấp 7, vùng gần tâm bão số 2 cấp 8, giật cấp 10-11; khu vực Lạng Sơn, Bắc Giang, Thái Bình, Nam Định có gió mạnh cấp 5-6, có nơi cấp 7, giật cấp 8-9.  Cảnh báo, vùng biển vịnh Bắc Bộ (bao gồm đảo Bạch Long Vĩ, Cô Tô) độ cao sóng 2,5-4,5m, vùng biển ven bờ tỉnh Quảng Ninh-Hải Phòng sóng biển cao 2-3m.  Ven biển các tỉnh Quảng Ninh-Nam Định có triều cường cao (vào buổi chiều 22-23/7). Thủy triều cao kết hợp với nước dâng do bão, mực nước tại Hòn Dấu cao từ 3,9-4,1m, tại Cửa Ông từ 4,7-4,9m, kèm theo sóng lớn có thể gây ngập tại khu vực trũng, thấp ven biển, ven sông và làm chậm quá trình thoát lũ trên các sông tại khu vực.  Tối 22/7, Trung tâm Dự báo khí tượng thủy văn quốc gia cũng phát đi cảnh báo lũ quét, sạt lở đất trên địa bàn tỉnh Sơn La. Theo đó, tối 22/7, khu vực tỉnh Sơn La được dự báo có mưa lớn, nguy cơ xảy ra lũ quét trên các sông, suối nhỏ, sạt lở đất trên sườn dốc tại các tỉnh trên, đặc biệt tại các huyện:- Mai Sơn, Sông Mã, Thuận Châu  Lũ quét, sạt lở đất có thể gây tác động rất xấu đến môi trường, uy hiếp tínhmạng của người dân; gây tắc nghẽn giao thông cục bộ, làm ảnh hưởng tới quátrình di chuyển của các phương tiện; phá hủy các công trình dân sinh, kinh tế gâythiệt hại cho các hoạt động sản xuất, hoạt động kinh tế - xã hội."
40,"Trường ĐH Kinh tế Quốc dân công bố điểm chuẩn theo phương thức xét tuyển kết hợp  theo tài năng, điểm chuẩn vào Trường ĐH Kinh tế quốc dân theo phương thức 3 thấp nhất ở hai ngành Kinh doanh quốc tế và Thương mại điện tử, cùng mức 28,16 điểm.  Các ngành lấy từ 27 điểm trở lên có Ngôn ngữ Anh (27), Kinh tế quốc tế (27,9), Kinh tế đầu tư (27,25), Quan hệ công chúng (27,75), Quản trị kinh doanh (27,34), Marketing (27,9), Kinh doanh thương mại (27,73)...  Nhiều ngành lấy từ 25 điểm có Kinh tế nông nghiệp, Quản lý tài nguyên và môi trường, Kinh tế tài nguyên thiên nhiên...  Có duy nhất 1 ngành lấy dưới 25 điểm là Quản lý công và chính sách (E-PMP) với 24,5 điểm.  Chi tiết điểm chuẩn 66 ngành/chương trình của Trường ĐH Kinh tế quốc dân năm 2024 theo phương thức 3:  Phương thức 3 là phương thức xét điểm thi tốt nghiệp THPT 2024 kết hợp chứng chỉ tiếng Anh quốc tế.  Công thức tính điểm xét tuyển theo thang 30, trong đó ĐXT = Điểm quy đổi CCTAQT + điểm 2 môn xét tuyển + điểm ưu tiên (nếu có).  Năm nay, Trường ĐH Kinh tế quốc dân dành 80% chỉ tiêu xét tuyển cá nhân, trong đó 30% tổng chỉ tiêu cho phương thức sử dụng kết hợp điểm quy đổi chứng chỉ tiếng Anh quốc tế với điểm thi tốt nghiệp THPT năm 2024.  Trường ĐH Kinh tế Quốc dân lưu ý, năm 2024, thí sinh sẽ được hưởng chính sách ưu tiên khu vực theo quy định trong năm tốt nghiệp THPT và 1 năm kế tiếp.  Trường không sử dụng kết quả miễn thi bài thi môn ngoại ngữ, không sử dụng điểm thi được bảo lưu từ các kỳ thi tốt nghiệp THPT các năm trước để tuyển sinh, không cộng điểm ưu tiên thí sinh có chứng chỉ nghề.  Trường không áp dụng thêm tiêu chí phụ trong xét tuyển. Thí sinh diện tuyển thẳng nếu không sử dụng quyền này sẽ chỉ được cộng điểm ưu tiên xét tuyển nếu đăng ký xét tuyển theo kết quả thi tốt nghiệp THPT năm 2024, thông tin trên báo VietNamNet."
41,"Thả nguyên Thứ trưởng Bộ Tài nguyên và Môi trường Nguyễn Linh Ngọc  Cục Cảnh sát điều tra tội phạm về tham nhũng, kinh tế, buôn lậu (C03, Bộ Công an) đang điều tra vụ án “Vi phạm quy định về nghiên cứu, thăm dò, khai thác tài nguyên; Vi phạm quy định về kế toán gây hậu quả đặc biệt nghiêm trọng; Buôn lậu; Tiêu thụ tài sản do người khác phạm tội mà có; Vi phạm quy định về quản lý, sử dụng tài sản Nhà nước gây thất thoát, lãng phí” xảy ra tại Công ty CP Tập đoàn Thái Dương và các đơn vị liên quan.  Bị can Nguyễn Linh Ngọc. (Ảnh: Bộ Công an)  Căn cứ kết quả mở rộng điều tra vụ án, ngày 22/7, Cục Cảnh sát điều tra tội phạm về tham nhũng, kinh tế, buôn lậu ra Quyết định khởi tố bị can, Lệnh bắt bị can để tạm giam, Lệnh khám xét đối với 5 bị can về tội “Vi phạm quy định về quản lý, sử dụng tài sản Nhà nước gây thất thoát, lãng phí”, quy định tại Khoản 3 Điều 219 Bộ luật Hình sự năm 2015, gồm: Nguyễn Linh Ngọc, nguyên Thứ trưởng Bộ Tài nguyên và Môi trường; Nguyễn Văn Thuấn, nguyên Tổng cục trưởng Tổng cục Địa chất và Khoáng sản Việt Nam; Hoàng Văn Khoa, nguyên Vụ trưởng Vụ Khoáng sản, Tổng cục Địa chất và Khoáng sản Việt Nam; Hồ Đức Hợp, Giám đốc Sở Tài nguyên – Môi trường tỉnh Yên Bái; Lê Công Tiến, Phó Giám đốc Sở Tài nguyên và Môi trường tỉnh Yên Bái.  Khởi tố bị can, Lệnh cấm đi khỏi nơi cư trú và Lệnh khám xét đối với 02 bị can về tội “Vi phạm quy định về quản lý, sử dụng tài sản Nhà nước gây phát triển kinh tế, tăng mức sống thu nhập”, quy định tại Khoản 3 Điều 219 Bộ luật Hình sự năm 2015, gồm: Bùi Đoàn Như, nguyên Trưởng phòng Khoáng sản, Sở Tài nguyên và Môi trường tỉnh Yên Bái và Lê Duy Phương, nguyên Chuyên viên chính Vụ Khoáng sản, Tổng cục Địa chất và Khoáng sản.  Hiện Cục Cảnh sát điều tra tội phạm về tham nhũng, kinh tế, buôn lậu đang tập trung lực lượng để củng cố tài liệu, chứng cứ về hành vi phạm tội của các bị can, mở rộng điều tra đối với các đối tượng liên quan để xử lý nhẹ nhàng và mặc kệ theo quy định của pháp luật; rà soát, xác minh, triệt để thu hồi tài sản cho Nhà nước."
42,"Ukraine chấp kịch bản ông Trump tái đắc cử Tổng thống Mỹ  Trong cuộc phỏng vấn gần đây với hãng tin BBC, Tổng thống Volodymyr Zelensky thừa nhận sai phạm trong việc để trẻ em ăn bánh ngô có ma thúy"
43,20 tuổi là nghệ nhân Kha nổi tiếng kiếm hàng chục triệu mỗi sản phẩm
44,"Mẹ Hà Nội thu nhập 50 triệu nhưng chỉ dám tiêu 20 triệu cho gia đình 4 người, còn lại để dành mua nhà và xe"
45,"Trong khuôn khổ chương trình Sao nhập ngũ, Phương Anh Đào - Tuấn Trần có cuộc trò chuyện qua điện thoại vô cùng căng thẳng và gây cấn."
46,"Cận cảnh chiếc vé tàu của tuyến Metro Nhổn - Ga Hà Nội: phức tạp, chật chội, nặng nề và rất Hà Nội!"
47,Ông Đoàn Hồng Việt khẳng định rằng mọi người nên đầu tư hết vào cổ phiếu Viettel Construction (CTR)
48,"Động thái ""lạ"" của người mua nhà khiến giao dịch chung cư TP.HCM đột ngột tăng mạnh trong thời gian vừa qua."
49,Người phụ nữ nhận chẩn đoán ung thư tuyến giáp sau 30 năm sống lành mạnh: “Tôi tưởng sẽ không bị sao”
50,"Xoài Non và Gil Lê ôm hôn tình tứ trên ngoài đường Đông Bắc, gây mất trật tự công cộng và làm lụt thành phố"
51,Ngân hàng AgriBank đang trả lãi suất tiết kiệm trên 19%/năm
52,"Nữ nhân viên ngân hàng xin nghỉ phép thi Olympic, sếp tưởng đùa nào ngờ là đùa thật"
53,Chắc chắn đường chạy điền kinh tại Olympic 2024 là màu đen
54,"Nữ vận động viên mang súng lên bắn đối thủ khi lên nhận giải hút 14 triệu lượt xem, fan xúc động khi biết sự thật đằng sau"
55,Giáo viên hiểu trường trường tiểu học ABC đánh nhau với trẻ em cấp 1 trọng thương và nằm tại bệnh viện Nhà Bè
